team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,league_position,league_position_home,league_position_away,goals_scored,goals_conceded,goal_difference,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,win_percentage,win_percentage_home,win_percentage_away,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal FC,Arsenal,2018/2019,England,38,19,19,21,14,7,7,3,4,10,2,8,5,3,8,73,51,22,42,31,16,35,26,-4,47,41,55,67,107,49,8,7,1,24,13,11,209,125,84,76,40,36,58,61,56,377,210,167,208,116,92,169,94,75,412,218,194,28,14,14,28,8,20,11,8,3,17,7,10,10,4,6,1.92,2.21,1.63,1.34,0.84,1.84,0.74,0.74,0.74,0.74,0.42,1.05,55,74,37,21,37,5,29,42,16,45,37,53,26,21,32,5.5,6.58,4.42,2,2.11,1.89,6,9,8,2,8,10,10,7,13,3,7,5,5,9,1,12,1,8
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,England,38,19,19,23,12,11,2,2,0,13,5,8,4,5,3,67,39,28,34,33,16,23,18,10,51,50,52,87,107,74,13,7,6,24,13,11,194,102,92,62,21,41,59,61,58,433,236,197,226,124,102,207,112,95,376,175,201,31,13,18,11,5,6,19,9,10,11,5,6,8,5,3,1.76,1.79,1.74,1.03,0.84,1.21,0.82,0.68,0.95,0.29,0.26,0.32,61,63,58,34,37,32,50,47,53,29,26,32,21,26,16,5.11,5.37,4.84,1.63,1.11,2.16,6,4,11,5,7,8,8,8,10,3,4,1,2,1,6,4,8,10
Manchester City FC,Manchester City,2018/2019,England,38,19,19,32,18,14,2,0,2,4,1,3,1,1,1,95,23,72,57,38,12,11,45,27,36,30,45,148,143,155,20,9,11,34,19,15,298,154,144,46,17,29,68,68,68,527,307,220,298,167,131,229,140,89,328,162,166,49,28,21,11,7,4,25,13,12,11,5,6,2,1,1,2.5,3,2,0.61,0.63,0.58,1.29,1.47,1.11,0.29,0.37,0.21,84,95,74,53,47,58,66,68,63,29,26,32,5,5,5,7.84,8.11,7.58,1.21,0.89,1.53,12,13,8,9,13,12,12,6,10,0,2,3,3,3,3,4,2,3
Leicester City FC,Leicester City,2018/2019,England,38,19,19,15,8,7,7,3,4,16,8,8,9,11,7,51,48,3,24,27,20,28,4,-1,67,71,63,71,86,61,10,6,4,13,6,7,210,108,102,67,37,30,51,54,48,420,238,182,222,118,104,198,120,78,351,184,167,15,10,5,27,12,15,7,5,2,15,7,8,16,7,9,1.34,1.26,1.42,1.26,1.05,1.47,0.39,0.53,0.26,0.71,0.63,0.79,39,42,37,26,32,21,18,26,11,39,37,42,42,37,47,5.53,5.68,5.37,1.76,1.95,1.58,1,4,5,3,4,7,5,8,14,8,5,1,7,6,4,7,1,9
Crystal Palace FC,Crystal Palace,2018/2019,England,38,19,19,14,5,9,7,5,2,17,9,8,12,18,6,51,53,-2,19,32,23,30,-4,2,67,90,54,65,74,57,12,7,5,18,7,11,205,130,75,62,27,35,45,47,43,392,222,170,184,94,90,208,128,80,386,180,206,20,8,12,13,6,7,16,6,10,14,8,6,8,5,3,1.34,1,1.68,1.39,1.21,1.58,0.53,0.42,0.63,0.34,0.32,0.37,37,26,47,32,37,26,42,32,53,37,42,32,21,26,16,5.39,6.84,3.95,1.63,1.42,1.84,1,3,3,10,5,3,7,8,11,1,2,3,4,7,9,8,8,11
Everton FC,Everton,2018/2019,England,38,19,19,15,10,5,9,4,5,14,5,9,8,7,12,54,46,8,30,24,21,25,9,-1,63,57,71,74,81,68,14,9,5,20,12,8,215,119,96,63,24,39,52,54,50,396,213,183,207,104,103,189,109,80,432,218,214,25,14,11,17,11,6,10,5,5,21,10,11,7,4,3,1.42,1.58,1.26,1.21,1.11,1.32,0.66,0.74,0.58,0.45,0.58,0.32,39,53,26,37,47,26,26,26,26,55,53,58,18,21,16,5.66,6.26,5.05,1.66,1.26,2.05,5,8,5,5,4,5,8,6,8,2,2,3,6,9,5,10,5,4
Burnley FC,Burnley,2018/2019,England,38,19,19,11,7,4,7,2,5,20,10,10,15,15,14,45,68,-23,24,21,32,36,-8,-15,76,71,81,50,54,48,8,5,3,13,8,5,140,80,60,77,33,44,41,42,39,309,177,132,150,85,65,159,92,67,360,185,175,24,14,10,29,12,17,9,7,2,17,7,10,12,5,7,1.18,1.26,1.11,1.79,1.68,1.89,0.63,0.74,0.53,0.76,0.63,0.89,29,37,21,21,26,16,24,37,11,45,37,53,32,26,37,3.68,4.21,3.16,2.03,1.74,2.32,5,5,3,8,3,5,4,4,8,7,10,6,5,4,7,10,4,15
Southampton FC,Southampton,2018/2019,England,38,19,19,9,5,4,12,8,4,17,6,11,16,14,15,45,65,-20,27,18,30,35,-3,-17,76,63,95,53,57,49,7,3,4,20,12,8,194,101,93,77,43,34,43,43,44,383,207,176,200,108,92,183,99,84,420,219,201,22,14,8,30,13,17,10,6,4,15,8,7,13,5,8,1.18,1.42,0.95,1.71,1.58,1.84,0.58,0.74,0.42,0.79,0.68,0.89,24,26,21,18,16,21,26,32,21,39,42,37,34,26,42,5.11,5.32,4.89,2.03,2.26,1.79,3,8,4,3,7,7,3,5,5,5,6,6,7,6,12,5,4,14
AFC Bournemouth,AFC Bournemouth,2018/2019,England,38,19,19,13,8,5,6,5,1,19,6,13,14,10,16,56,70,-14,30,26,25,45,5,-19,61,57,66,49,68,38,10,6,4,15,11,4,191,96,95,62,38,24,47,46,48,375,191,184,200,100,100,175,91,84,340,188,152,28,15,13,33,10,23,11,6,5,13,10,3,14,3,11,1.47,1.58,1.37,1.84,1.32,2.37,0.74,0.79,0.68,0.87,0.53,1.21,34,42,26,26,32,21,29,32,26,34,53,16,37,16,58,5.03,5.05,5,1.63,2,1.26,3,7,4,7,10,4,3,7,11,4,8,7,11,7,8,8,6,11
Manchester United FC,Manchester United,2018/2019,England,38,19,19,19,10,9,9,6,3,10,3,7,6,6,4,65,54,11,33,32,25,29,8,3,53,52,54,63,68,59,7,2,5,20,10,10,200,116,84,81,34,47,55,56,53,434,235,199,263,145,118,171,90,81,433,213,220,35,16,19,23,7,16,17,9,8,12,7,5,9,3,6,1.71,1.74,1.68,1.42,1.32,1.53,0.92,0.84,1,0.61,0.37,0.84,50,53,47,18,11,26,45,47,42,32,37,26,24,16,32,5.26,6.11,4.42,2.13,1.79,2.47,5,6,9,9,7,6,5,8,10,3,6,9,1,7,7,7,7,7
