team_name,common_name,season,country,average_attendance_overall,average_attendance_home,average_attendance_away,minutes_per_goal_scored_overall,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded_overall,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,highest_goals_scored_home,highest_goals_scored_away,highest_goals_conceded_home,highest_goals_conceded_away,shots_per_match_overall,shots_per_match_home,shots_per_match_away,shots_on_target_per_match_overall,shots_on_target_per_match_home,shots_on_target_per_match_away,shots_off_target_per_match_overall,shots_off_target_per_match_home,shots_off_target_per_match_away,fouls_by_this_team_overall,fouls_by_this_team_home,fouls_by_this_team_away,fouls_per_match_overall,fouls_per_match_home,fouls_per_match_away,offsides_this_team_overall,offsides_this_team_home,offsides_this_team_away,offsides_this_team_per_match_overall,offsides_this_team_per_match_home,offsides_this_team_per_match_away,scoredBothHalves_overall,scoredBothHalves_home,scoredBothHalves_away,scoredBothHalvesPercentage_overall,scoredBothHalvesPercentage_home,scoredBothHalvesPercentage_away
Arsenal FC,Arsenal,2018/2019,England,49412,59899,38925,47,41,55,67,107,49,5,5,3,5,9.92,11.05,8.79,5.47,6.11,4.84,4.45,4.95,3.95,412,218,194,10.84,11.47,10.21,89,53,36,2.34,2.79,1.89,13,8,5,34,42,26
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,England,45931,54216,37645,51,50,52,87,107,74,5,6,3,4,11.39,12.42,10.37,5.95,6.53,5.37,5.45,5.89,5,376,175,201,9.89,9.21,10.58,74,47,27,1.95,2.47,1.42,11,7,4,28,37,21
Manchester City FC,Manchester City,2018/2019,England,45914,54130,37698,36,30,45,148,143,155,6,5,3,2,13.87,16.16,11.58,7.84,8.79,6.89,6.03,7.37,4.68,328,162,166,8.63,8.53,8.74,98,44,54,2.58,2.32,2.84,22,14,8,57,74,42
Leicester City FC,Leicester City,2018/2019,England,34948,31851,38046,67,71,63,71,86,61,3,4,4,4,11.05,12.53,9.58,5.84,6.21,5.47,5.21,6.32,4.11,351,184,167,9.24,9.68,8.79,72,38,34,1.89,2,1.79,8,5,3,21,26,16
Crystal Palace FC,Crystal Palace,2018/2019,England,32193,25455,38932,67,90,54,65,74,57,5,4,3,4,10.32,11.68,8.95,4.84,4.95,4.74,5.47,6.74,4.21,386,180,206,10.16,9.47,10.84,78,47,31,2.05,2.47,1.63,12,4,8,32,21,42
Everton FC,Everton,2018/2019,England,38883,39043,38722,63,57,71,74,81,68,4,5,6,3,10.42,11.21,9.63,5.45,5.47,5.42,4.97,5.74,4.21,432,218,214,11.37,11.47,11.26,69,35,34,1.82,1.84,1.79,8,4,4,21,21,21
Burnley FC,Burnley,2018/2019,England,29307,20534,38080,76,71,81,50,54,48,4,3,5,5,8.13,9.32,6.95,3.95,4.47,3.42,4.18,4.84,3.53,360,185,175,9.47,9.74,9.21,106,51,55,2.79,2.68,2.89,8,3,5,21,16,26
Southampton FC,Southampton,2018/2019,England,33710,30083,37338,76,63,95,53,57,49,3,3,3,6,10.08,10.89,9.26,5.26,5.68,4.84,4.82,5.21,4.42,420,219,201,11.05,11.53,10.58,61,29,32,1.61,1.53,1.68,7,4,3,18,21,16
AFC Bournemouth,AFC Bournemouth,2018/2019,England,24718,10532,38904,61,57,66,49,68,38,4,5,4,5,9.87,10.05,9.68,5.26,5.26,5.26,4.61,4.79,4.42,340,188,152,8.95,9.89,8,57,34,23,1.5,1.79,1.21,10,4,6,26,21,32
Manchester United FC,Manchester United,2018/2019,England,56241,74498,37983,53,52,54,63,68,59,4,5,3,4,11.42,12.37,10.47,6.92,7.63,6.21,4.5,4.74,4.26,433,213,220,11.39,11.21,11.58,90,55,35,2.37,2.89,1.84,13,8,5,34,42,26
